"medv","crim","zn","chas","nox","rm","dis"
24,0.00632,18,0,0.538,6.575,4.09
21.6,0.02731,0,0,0.469,6.421,4.9671
34.7,0.02729,0,0,0.469,7.185,4.9671
33.4,0.03237,0,0,0.458,6.998,6.0622
36.2,0.06905,0,0,0.458,7.147,6.0622
28.7,0.02985,0,0,0.458,6.43,6.0622
22.9,0.08829,12.5,0,0.524,6.012,5.5605
27.1,0.14455,12.5,0,0.524,6.172,5.9505
16.5,0.21124,12.5,0,0.524,5.631,6.0821
18.9,0.17004,12.5,0,0.524,6.004,6.5921
15,0.22489,12.5,0,0.524,6.377,6.3467
18.9,0.11747,12.5,0,0.524,6.009,6.2267
21.7,0.09378,12.5,0,0.524,5.889,5.4509
20.4,0.62976,0,0,0.538,5.949,4.7075
18.2,0.63796,0,0,0.538,6.096,4.4619
19.9,0.62739,0,0,0.538,5.834,4.4986
23.1,1.05393,0,0,0.538,5.935,4.4986
17.5,0.7842,0,0,0.538,5.99,4.2579
20.2,0.80271,0,0,0.538,5.456,3.7965
18.2,0.7258,0,0,0.538,5.727,3.7965
13.6,1.25179,0,0,0.538,5.57,3.7979
19.6,0.85204,0,0,0.538,5.965,4.0123
15.2,1.23247,0,0,0.538,6.142,3.9769
14.5,0.98843,0,0,0.538,5.813,4.0952
15.6,0.75026,0,0,0.538,5.924,4.3996
13.9,0.84054,0,0,0.538,5.599,4.4546
16.6,0.67191,0,0,0.538,5.813,4.682
14.8,0.95577,0,0,0.538,6.047,4.4534
18.4,0.77299,0,0,0.538,6.495,4.4547
21,1.00245,0,0,0.538,6.674,4.239
12.7,1.13081,0,0,0.538,5.713,4.233
14.5,1.35472,0,0,0.538,6.072,4.175
13.2,1.38799,0,0,0.538,5.95,3.99
13.1,1.15172,0,0,0.538,5.701,3.7872
13.5,1.61282,0,0,0.538,6.096,3.7598
18.9,0.06417,0,0,0.499,5.933,3.3603
20,0.09744,0,0,0.499,5.841,3.3779
21,0.08014,0,0,0.499,5.85,3.9342
24.7,0.17505,0,0,0.499,5.966,3.8473
30.8,0.02763,75,0,0.428,6.595,5.4011
34.9,0.03359,75,0,0.428,7.024,5.4011
26.6,0.12744,0,0,0.448,6.77,5.7209
25.3,0.1415,0,0,0.448,6.169,5.7209
24.7,0.15936,0,0,0.448,6.211,5.7209
21.2,0.12269,0,0,0.448,6.069,5.7209
19.3,0.17142,0,0,0.448,5.682,5.1004
20,0.18836,0,0,0.448,5.786,5.1004
16.6,0.22927,0,0,0.448,6.03,5.6894
14.4,0.25387,0,0,0.448,5.399,5.87
19.4,0.21977,0,0,0.448,5.602,6.0877
19.7,0.08873,21,0,0.439,5.963,6.8147
20.5,0.04337,21,0,0.439,6.115,6.8147
25,0.0536,21,0,0.439,6.511,6.8147
23.4,0.04981,21,0,0.439,5.998,6.8147
18.9,0.0136,75,0,0.41,5.888,7.3197
35.4,0.01311,90,0,0.403,7.249,8.6966
24.7,0.02055,85,0,0.41,6.383,9.1876
31.6,0.01432,100,0,0.411,6.816,8.3248
23.3,0.15445,25,0,0.453,6.145,7.8148
19.6,0.10328,25,0,0.453,5.927,6.932
18.7,0.14932,25,0,0.453,5.741,7.2254
16,0.17171,25,0,0.453,5.966,6.8185
22.2,0.11027,25,0,0.453,6.456,7.2255
25,0.1265,25,0,0.453,6.762,7.9809
33,0.01951,17.5,0,0.4161,7.104,9.2229
23.5,0.03584,80,0,0.398,6.29,6.6115
19.4,0.04379,80,0,0.398,5.787,6.6115
22,0.05789,12.5,0,0.409,5.878,6.498
17.4,0.13554,12.5,0,0.409,5.594,6.498
20.9,0.12816,12.5,0,0.409,5.885,6.498
24.2,0.08826,0,0,0.413,6.417,5.2873
21.7,0.15876,0,0,0.413,5.961,5.2873
22.8,0.09164,0,0,0.413,6.065,5.2873
23.4,0.19539,0,0,0.413,6.245,5.2873
24.1,0.07896,0,0,0.437,6.273,4.2515
21.4,0.09512,0,0,0.437,6.286,4.5026
20,0.10153,0,0,0.437,6.279,4.0522
20.8,0.08707,0,0,0.437,6.14,4.0905
21.2,0.05646,0,0,0.437,6.232,5.0141
20.3,0.08387,0,0,0.437,5.874,4.5026
28,0.04113,25,0,0.426,6.727,5.4007
23.9,0.04462,25,0,0.426,6.619,5.4007
24.8,0.03659,25,0,0.426,6.302,5.4007
22.9,0.03551,25,0,0.426,6.167,5.4007
23.9,0.05059,0,0,0.449,6.389,4.7794
26.6,0.05735,0,0,0.449,6.63,4.4377
22.5,0.05188,0,0,0.449,6.015,4.4272
22.2,0.07151,0,0,0.449,6.121,3.7476
23.6,0.0566,0,0,0.489,7.007,3.4217
28.7,0.05302,0,0,0.489,7.079,3.4145
22.6,0.04684,0,0,0.489,6.417,3.0923
22,0.03932,0,0,0.489,6.405,3.0921
22.9,0.04203,28,0,0.464,6.442,3.6659
25,0.02875,28,0,0.464,6.211,3.6659
20.6,0.04294,28,0,0.464,6.249,3.615
28.4,0.12204,0,0,0.445,6.625,3.4952
21.4,0.11504,0,0,0.445,6.163,3.4952
38.7,0.12083,0,0,0.445,8.069,3.4952
43.8,0.08187,0,0,0.445,7.82,3.4952
33.2,0.0686,0,0,0.445,7.416,3.4952
27.5,0.14866,0,0,0.52,6.727,2.7778
26.5,0.11432,0,0,0.52,6.781,2.8561
18.6,0.22876,0,0,0.52,6.405,2.7147
19.3,0.21161,0,0,0.52,6.137,2.7147
20.1,0.1396,0,0,0.52,6.167,2.421
19.5,0.13262,0,0,0.52,5.851,2.1069
19.5,0.1712,0,0,0.52,5.836,2.211
20.4,0.13117,0,0,0.52,6.127,2.1224
19.8,0.12802,0,0,0.52,6.474,2.4329
19.4,0.26363,0,0,0.52,6.229,2.5451
21.7,0.10793,0,0,0.52,6.195,2.7778
22.8,0.10084,0,0,0.547,6.715,2.6775
18.8,0.12329,0,0,0.547,5.913,2.3534
18.7,0.22212,0,0,0.547,6.092,2.548
18.5,0.14231,0,0,0.547,6.254,2.2565
18.3,0.17134,0,0,0.547,5.928,2.4631
21.2,0.13158,0,0,0.547,6.176,2.7301
19.2,0.15098,0,0,0.547,6.021,2.7474
20.4,0.13058,0,0,0.547,5.872,2.4775
19.3,0.14476,0,0,0.547,5.731,2.7592
22,0.06899,0,0,0.581,5.87,2.2577
20.3,0.07165,0,0,0.581,6.004,2.1974
20.5,0.09299,0,0,0.581,5.961,2.0869
17.3,0.15038,0,0,0.581,5.856,1.9444
18.8,0.09849,0,0,0.581,5.879,2.0063
21.4,0.16902,0,0,0.581,5.986,1.9929
15.7,0.38735,0,0,0.581,5.613,1.7572
16.2,0.25915,0,0,0.624,5.693,1.7883
18,0.32543,0,0,0.624,6.431,1.8125
14.3,0.88125,0,0,0.624,5.637,1.9799
19.2,0.34006,0,0,0.624,6.458,2.1185
19.6,1.19294,0,0,0.624,6.326,2.271
23,0.59005,0,0,0.624,6.372,2.3274
18.4,0.32982,0,0,0.624,5.822,2.4699
15.6,0.97617,0,0,0.624,5.757,2.346
18.1,0.55778,0,0,0.624,6.335,2.1107
17.4,0.32264,0,0,0.624,5.942,1.9669
17.1,0.35233,0,0,0.624,6.454,1.8498
13.3,0.2498,0,0,0.624,5.857,1.6686
17.8,0.54452,0,0,0.624,6.151,1.6687
14,0.2909,0,0,0.624,6.174,1.6119
14.4,1.62864,0,0,0.624,5.019,1.4394
13.4,3.32105,0,1,0.871,5.403,1.3216
15.6,4.0974,0,0,0.871,5.468,1.4118
11.8,2.77974,0,0,0.871,4.903,1.3459
13.8,2.37934,0,0,0.871,6.13,1.4191
15.6,2.15505,0,0,0.871,5.628,1.5166
14.6,2.36862,0,0,0.871,4.926,1.4608
17.8,2.33099,0,0,0.871,5.186,1.5296
15.4,2.73397,0,0,0.871,5.597,1.5257
21.5,1.6566,0,0,0.871,6.122,1.618
19.6,1.49632,0,0,0.871,5.404,1.5916
15.3,1.12658,0,1,0.871,5.012,1.6102
19.4,2.14918,0,0,0.871,5.709,1.6232
17,1.41385,0,1,0.871,6.129,1.7494
15.6,3.53501,0,1,0.871,6.152,1.7455
13.1,2.44668,0,0,0.871,5.272,1.7364
41.3,1.22358,0,0,0.605,6.943,1.8773
24.3,1.34284,0,0,0.605,6.066,1.7573
23.3,1.42502,0,0,0.871,6.51,1.7659
27,1.27346,0,1,0.605,6.25,1.7984
50,1.46336,0,0,0.605,7.489,1.9709
50,1.83377,0,1,0.605,7.802,2.0407
50,1.51902,0,1,0.605,8.375,2.162
22.7,2.24236,0,0,0.605,5.854,2.422
25,2.924,0,0,0.605,6.101,2.2834
50,2.01019,0,0,0.605,7.929,2.0459
23.8,1.80028,0,0,0.605,5.877,2.4259
23.8,2.3004,0,0,0.605,6.319,2.1
22.3,2.44953,0,0,0.605,6.402,2.2625
17.4,1.20742,0,0,0.605,5.875,2.4259
19.1,2.3139,0,0,0.605,5.88,2.3887
23.1,0.13914,0,0,0.51,5.572,2.5961
23.6,0.09178,0,0,0.51,6.416,2.6463
22.6,0.08447,0,0,0.51,5.859,2.7019
29.4,0.06664,0,0,0.51,6.546,3.1323
23.2,0.07022,0,0,0.51,6.02,3.5549
24.6,0.05425,0,0,0.51,6.315,3.3175
29.9,0.06642,0,0,0.51,6.86,2.9153
37.2,0.0578,0,0,0.488,6.98,2.829
39.8,0.06588,0,0,0.488,7.765,2.741
36.2,0.06888,0,0,0.488,6.144,2.5979
37.9,0.09103,0,0,0.488,7.155,2.7006
32.5,0.10008,0,0,0.488,6.563,2.847
26.4,0.08308,0,0,0.488,5.604,2.9879
29.6,0.06047,0,0,0.488,6.153,3.2797
50,0.05602,0,0,0.488,7.831,3.1992
32,0.07875,45,0,0.437,6.782,3.7886
29.8,0.12579,45,0,0.437,6.556,4.5667
34.9,0.0837,45,0,0.437,7.185,4.5667
37,0.09068,45,0,0.437,6.951,6.4798
30.5,0.06911,45,0,0.437,6.739,6.4798
36.4,0.08664,45,0,0.437,7.178,6.4798
31.1,0.02187,60,0,0.401,6.8,6.2196
29.1,0.01439,60,0,0.401,6.604,6.2196
50,0.01381,80,0,0.422,7.875,5.6484
33.3,0.04011,80,0,0.404,7.287,7.309
30.3,0.04666,80,0,0.404,7.107,7.309
34.6,0.03768,80,0,0.404,7.274,7.309
34.9,0.0315,95,0,0.403,6.975,7.6534
32.9,0.01778,95,0,0.403,7.135,7.6534
24.1,0.03445,82.5,0,0.415,6.162,6.27
42.3,0.02177,82.5,0,0.415,7.61,6.27
48.5,0.0351,95,0,0.4161,7.853,5.118
50,0.02009,95,0,0.4161,8.034,5.118
22.6,0.13642,0,0,0.489,5.891,3.9454
24.4,0.22969,0,0,0.489,6.326,4.3549
22.5,0.25199,0,0,0.489,5.783,4.3549
24.4,0.13587,0,1,0.489,6.064,4.2392
20,0.43571,0,1,0.489,5.344,3.875
21.7,0.17446,0,1,0.489,5.96,3.8771
19.3,0.37578,0,1,0.489,5.404,3.665
22.4,0.21719,0,1,0.489,5.807,3.6526
28.1,0.14052,0,0,0.489,6.375,3.9454
23.7,0.28955,0,0,0.489,5.412,3.5875
25,0.19802,0,0,0.489,6.182,3.9454
23.3,0.0456,0,1,0.55,5.888,3.1121
28.7,0.07013,0,0,0.55,6.642,3.4211
21.5,0.11069,0,1,0.55,5.951,2.8893
23,0.11425,0,1,0.55,6.373,3.3633
26.7,0.35809,0,1,0.507,6.951,2.8617
21.7,0.40771,0,1,0.507,6.164,3.048
27.5,0.62356,0,1,0.507,6.879,3.2721
30.1,0.6147,0,0,0.507,6.618,3.2721
44.8,0.31533,0,0,0.504,8.266,2.8944
50,0.52693,0,0,0.504,8.725,2.8944
37.6,0.38214,0,0,0.504,8.04,3.2157
31.6,0.41238,0,0,0.504,7.163,3.2157
46.7,0.29819,0,0,0.504,7.686,3.3751
31.5,0.44178,0,0,0.504,6.552,3.3751
24.3,0.537,0,0,0.504,5.981,3.6715
31.7,0.46296,0,0,0.504,7.412,3.6715
41.7,0.57529,0,0,0.507,8.337,3.8384
48.3,0.33147,0,0,0.507,8.247,3.6519
29,0.44791,0,1,0.507,6.726,3.6519
24,0.33045,0,0,0.507,6.086,3.6519
25.1,0.52058,0,1,0.507,6.631,4.148
31.5,0.51183,0,0,0.507,7.358,4.148
23.7,0.08244,30,0,0.428,6.481,6.1899
23.3,0.09252,30,0,0.428,6.606,6.1899
22,0.11329,30,0,0.428,6.897,6.3361
20.1,0.10612,30,0,0.428,6.095,6.3361
22.2,0.1029,30,0,0.428,6.358,7.0355
23.7,0.12757,30,0,0.428,6.393,7.0355
17.6,0.20608,22,0,0.431,5.593,7.9549
18.5,0.19133,22,0,0.431,5.605,7.9549
24.3,0.33983,22,0,0.431,6.108,8.0555
20.5,0.19657,22,0,0.431,6.226,8.0555
24.5,0.16439,22,0,0.431,6.433,7.8265
26.2,0.19073,22,0,0.431,6.718,7.8265
24.4,0.1403,22,0,0.431,6.487,7.3967
24.8,0.21409,22,0,0.431,6.438,7.3967
29.6,0.08221,22,0,0.431,6.957,8.9067
42.8,0.36894,22,0,0.431,8.259,8.9067
21.9,0.04819,80,0,0.392,6.108,9.2203
20.9,0.03548,80,0,0.392,5.876,9.2203
44,0.01538,90,0,0.394,7.454,6.3361
50,0.61154,20,0,0.647,8.704,1.801
36,0.66351,20,0,0.647,7.333,1.8946
30.1,0.65665,20,0,0.647,6.842,2.0107
33.8,0.54011,20,0,0.647,7.203,2.1121
43.1,0.53412,20,0,0.647,7.52,2.1398
48.8,0.52014,20,0,0.647,8.398,2.2885
31,0.82526,20,0,0.647,7.327,2.0788
36.5,0.55007,20,0,0.647,7.206,1.9301
22.8,0.76162,20,0,0.647,5.56,1.9865
30.7,0.7857,20,0,0.647,7.014,2.1329
50,0.57834,20,0,0.575,8.297,2.4216
43.5,0.5405,20,0,0.575,7.47,2.872
20.7,0.09065,20,1,0.464,5.92,3.9175
21.1,0.29916,20,0,0.464,5.856,4.429
25.2,0.16211,20,0,0.464,6.24,4.429
24.4,0.1146,20,0,0.464,6.538,3.9175
35.2,0.22188,20,1,0.464,7.691,4.3665
32.4,0.05644,40,1,0.447,6.758,4.0776
32,0.09604,40,0,0.447,6.854,4.2673
33.2,0.10469,40,1,0.447,7.267,4.7872
33.1,0.06127,40,1,0.447,6.826,4.8628
29.1,0.07978,40,0,0.447,6.482,4.1403
35.1,0.21038,20,0,0.4429,6.812,4.1007
45.4,0.03578,20,0,0.4429,7.82,4.6947
35.4,0.03705,20,0,0.4429,6.968,5.2447
46,0.06129,20,1,0.4429,7.645,5.2119
50,0.01501,90,1,0.401,7.923,5.885
32.2,0.00906,90,0,0.4,7.088,7.3073
22,0.01096,55,0,0.389,6.453,7.3073
20.1,0.01965,80,0,0.385,6.23,9.0892
23.2,0.03871,52.5,0,0.405,6.209,7.3172
22.3,0.0459,52.5,0,0.405,6.315,7.3172
24.8,0.04297,52.5,0,0.405,6.565,7.3172
28.5,0.03502,80,0,0.411,6.861,5.1167
37.3,0.07886,80,0,0.411,7.148,5.1167
27.9,0.03615,80,0,0.411,6.63,5.1167
23.9,0.08265,0,0,0.437,6.127,5.5027
21.7,0.08199,0,0,0.437,6.009,5.5027
28.6,0.12932,0,0,0.437,6.678,5.9604
27.1,0.05372,0,0,0.437,6.549,5.9604
20.3,0.14103,0,0,0.437,5.79,6.32
22.5,0.06466,70,0,0.4,6.345,7.8278
29,0.05561,70,0,0.4,7.041,7.8278
24.8,0.04417,70,0,0.4,6.871,7.8278
22,0.03537,34,0,0.433,6.59,5.4917
26.4,0.09266,34,0,0.433,6.495,5.4917
33.1,0.1,34,0,0.433,6.982,5.4917
36.1,0.05515,33,0,0.472,7.236,4.022
28.4,0.05479,33,0,0.472,6.616,3.37
33.4,0.07503,33,0,0.472,7.42,3.0992
28.2,0.04932,33,0,0.472,6.849,3.1827
22.8,0.49298,0,0,0.544,6.635,3.3175
20.3,0.3494,0,0,0.544,5.972,3.1025
16.1,2.63548,0,0,0.544,4.973,2.5194
22.1,0.79041,0,0,0.544,6.122,2.6403
19.4,0.26169,0,0,0.544,6.023,2.834
21.6,0.26938,0,0,0.544,6.266,3.2628
23.8,0.3692,0,0,0.544,6.567,3.6023
16.2,0.25356,0,0,0.544,5.705,3.945
17.8,0.31827,0,0,0.544,5.914,3.9986
19.8,0.24522,0,0,0.544,5.782,4.0317
23.1,0.40202,0,0,0.544,6.382,3.5325
21,0.47547,0,0,0.544,6.113,4.0019
23.8,0.1676,0,0,0.493,6.426,4.5404
23.1,0.18159,0,0,0.493,6.376,4.5404
20.4,0.35114,0,0,0.493,6.041,4.7211
18.5,0.28392,0,0,0.493,5.708,4.7211
25,0.34109,0,0,0.493,6.415,4.7211
24.6,0.19186,0,0,0.493,6.431,5.4159
23,0.30347,0,0,0.493,6.312,5.4159
