Date,Clicks,Impressions,CTR,Position
2023-03-08,45,21303,0.21%,31.21
2023-03-07,41,21549,0.19%,31.56
2023-03-06,33,19859,0.17%,31.87
2023-03-05,36,19306,0.19%,31.78
2023-03-04,28,14601,0.19%,29.41
2023-03-03,29,13162,0.22%,29.02
2023-03-02,27,11630,0.23%,29.01
2023-03-01,24,8940,0.27%,31.42
2023-02-28,21,6874,0.31%,31.23
2023-02-27,19,5774,0.33%,32.26
2023-02-26,9,3657,0.25%,33
2023-02-25,6,2190,0.27%,32.39
2023-02-24,6,1789,0.34%,33.04
2023-02-23,2,1495,0.13%,31.11
2023-02-22,4,1366,0.29%,30.93
2023-02-21,3,1531,0.2%,31.37
2023-02-20,2,1384,0.14%,29.5
2023-02-19,6,1498,0.4%,30.95
2023-02-18,4,1270,0.31%,30.85
2023-02-17,3,1281,0.23%,30.6
2023-02-16,2,1126,0.18%,31.01
2023-02-15,6,1175,0.51%,30.16
2023-02-14,1,1116,0.09%,30.99
2023-02-13,2,1271,0.16%,31
2023-02-12,5,1291,0.39%,30.23
2023-02-11,4,1101,0.36%,30.46
2023-02-10,3,1067,0.28%,30.6
2023-02-09,4,927,0.43%,29.1
2023-02-08,3,929,0.32%,30.97
2023-02-07,5,849,0.59%,29.96
2023-02-06,3,704,0.43%,29.8
2023-02-05,2,758,0.26%,31.19
2023-02-04,1,682,0.15%,29.72
2023-02-03,4,670,0.6%,29.83
2023-02-02,1,770,0.13%,29.49
2023-02-01,2,653,0.31%,29.35
2023-01-31,2,610,0.33%,29.95
2023-01-30,5,605,0.83%,28.8
2023-01-29,2,719,0.28%,30.7
2023-01-28,1,743,0.13%,30.28
2023-01-27,2,594,0.34%,29.66
2023-01-26,0,669,0%,28.78
2023-01-25,3,601,0.5%,29.08
2023-01-24,3,719,0.42%,31.52
2023-01-23,1,648,0.15%,32.25
2023-01-22,2,768,0.26%,31.85
2023-01-21,5,662,0.76%,31.31
2023-01-20,2,488,0.41%,30.7
2023-01-19,0,513,0%,30.94
2023-01-18,4,503,0.8%,31.85
2023-01-17,2,503,0.4%,31.88
2023-01-16,0,413,0%,31.08
2023-01-15,2,434,0.46%,32.08
2023-01-14,2,352,0.57%,30.16
2023-01-13,3,326,0.92%,30.24
2023-01-12,2,321,0.62%,29.92
2023-01-11,0,312,0%,30.18
2023-01-10,1,284,0.35%,28.79
2023-01-09,2,218,0.92%,30.76
2023-01-08,2,269,0.74%,29.75
2023-01-07,1,236,0.42%,30.28
2023-01-06,0,220,0%,27.84
2023-01-05,2,238,0.84%,28.06
2023-01-04,1,248,0.4%,27.19
2023-01-03,3,261,1.15%,28.66
2023-01-02,1,203,0.49%,31.11
2023-01-01,1,226,0.44%,28.9
2022-12-31,0,179,0%,32.29
2022-12-30,3,217,1.38%,31.11
2022-12-29,1,282,0.35%,30.53
2022-12-28,1,237,0.42%,32.8
2022-12-27,0,265,0%,32.12
2022-12-26,1,224,0.45%,31.68
2022-12-25,0,220,0%,32.57
2022-12-24,0,206,0%,31.96
2022-12-23,5,213,2.35%,31.53
2022-12-22,2,240,0.83%,29.13
2022-12-21,1,246,0.41%,30.13
2022-12-20,1,253,0.4%,30.27
2022-12-19,1,213,0.47%,32.36
2022-12-18,0,230,0%,31.58
2022-12-17,1,205,0.49%,31.99
2022-12-16,0,202,0%,33.94
2022-12-15,2,187,1.07%,31.63
2022-12-14,0,140,0%,34.14
2022-12-13,0,141,0%,29.33
2022-12-12,0,138,0%,33.07
2022-12-11,0,73,0%,33.58
2022-12-10,0,73,0%,29.68
2022-12-09,0,63,0%,34.35
2022-12-08,1,58,1.72%,29.43
2022-12-07,1,44,2.27%,35.07
2022-12-06,1,44,2.27%,41.66
2022-12-05,0,58,0%,38.81
2022-12-04,1,68,1.47%,32.29
2022-12-03,0,48,0%,34.04
2022-12-02,0,54,0%,34.89
2022-12-01,2,59,3.39%,32.39
2022-11-30,0,52,0%,37.9
2022-11-29,1,70,1.43%,30.29
2022-11-28,0,76,0%,29.32
2022-11-27,1,77,1.3%,32.82
2022-11-26,0,67,0%,32.24
2022-11-25,2,67,2.99%,28.87
2022-11-24,0,52,0%,31.81
2022-11-23,0,60,0%,32.92
2022-11-22,0,66,0%,31.39
2022-11-21,1,69,1.45%,30.81
2022-11-20,1,63,1.59%,31.46
2022-11-19,1,55,1.82%,30.2
2022-11-18,0,38,0%,34.74
